org.leo.dictionary.config.entity.ParseWords:fr:en;uk:le+;la+;les+;l%27:%5C%7C:%3B:%3B:%5Ct::Collins+French+3000

	 l'essentiel | the essentials
l'aiguille à crochet; f | crochet hook | гачок для в'язання
le tissu | fabric | тканина
les ciseaux de couture; mpl | fabric scissors | ножиці для тканини
les aiguilles à tricoter; fpl | knitting needles | спиці для в'язання
du fil et une aiguille | needle and thread | голка і нитка
les épingles; fpl | pins | шпильки
l'épingle à nourrice; f | safety pin | безпечна шпилька
la boîte à couture | sewing basket | кошик для шиття
la machine à coudre | sewing machine | швейна машина
le mètre ruban | tape measure | рулетка; сантиметр

	le sport | sport
le sport | sport | спорт
le terrain de football | football pitch | ігрове поле
la surface de réparation | penalty box | штрафний майданчик
le cercle central | centre circle | середнє коло
le but | goal | ворота

le tournoi | tournament | турнір
la compétition | competition | змагання
la ligue | league | чемпіонат
le champion | champion | чемпіон
la championne | champion | чемпіон
le concurrent | competitor | учасник
la concurrente | competitor | учасник
le coéquipier | teammate | товариш по команді
la coéquipière | teammate | товариш по команді
l'entraîneur; m | coach | тренер; вагон; тренер
l'entraîneuse; f | coach | тренер; вагон; тренер
le directeur sportif | manager | головний тренер
la directrice sportive | manager | головний тренер
le match | match | гра
les points; mpl | points | бали
entraîner | to coach | тренувати
participer | to compete | брати участь
marquer | to score | заробляти очки
gagner | to win | виграти
perdre | to lose | втрачати
faire match nul | to draw | зіграти внічию
le centre sportif | leisure centre | центр дозвілля
la médaille | medal | медаль
l'officiel; m | official | службовець; чиновник
l'officielle; f | official | службовець; чиновник
le podium | podium | подіум
l'arbitre; m | referee | рефері
l'arbitre; f | referee | рефері
le tableau des scores | scoreboard | табло
les spectateurs; mpl | spectators | глядачі
le sportif | sportsperson | спортсмен
la sportive | sportsperson | спортсмен
le stade | stadium | стадіон
la tribune | stands | трибуна
l'équipe; f | team | команда
le trophée | trophy | трофей

le bien-être | wellbeing | фітнес
la salle de sport | gym | тренажерний зал
le professeur de fitness | gym instructor | фітнес-тренер
la professeure de fitness | gym instructor | фітнес-тренер
l'entraîneur personnel; m | personal trainer | особистий тренер
l'entraîneuse personnelle; f | personal trainer | особистий тренер
l'abonnement à la salle de sport; m | gym membership | абонемент у спортзал
le cours de remise en forme | exercise class | курс фітнесу
le Pilates | Pilates | пілатес
le yoga | yoga | йога
les pompes; fpl | press-ups | віджимання
les abdominaux; mpl | sit-ups | присідання
la course | running | біг
faire du sport | to exercise | займатися спортом
se maintenir en forme | to keep fit | залишатися у формі
aller courir | to go for a run | вийти на прогулянку
aller à la salle de sport | to go to the gym | ходити в тренажерний зал

le vestiaire | changing room | роздягальня
le vélo elliptique | cross trainer | крос-тренажер
l'haltère; m | dumbbell | штанга
le vélo d'appartement | exercise bike | велотренажер
le ballon de gym | gym ball | м'яч для вправ
le kettlebell | kettle bell | гиря
le casier | locker | шафка
le rameur | rowing machine | гребний тренажер
les douches; fpl | showers | душова кімната
la corde à sauter | skipping rope | скакалка
le tapis roulant | treadmill | бігова доріжка
le banc de musculation | weightlifting bench | вагова лава

le football | football | футбол
le défenseur | defender | захисник
la défenseure | defender | захисник
l'attaquant; m | striker | нападаючий
l'attaquante; f | striker | нападаючий
le remplaçant | substitute | запасний гравець
la remplaçante | substitute | запасний гравець
le coup d'envoi | kick-off | поштовх
la mi-temps | half-time | тайм
la fin du match | full-time | звичайний час гри
les prolongations; fpl | extra time | додатковий час
le temps additionnel | added time | додатковий час
le coup franc | free kick | вільний удар
le coup de tête | header | заголовок
l'arrêt (du ballon); m | save | захист
la faute | foul | фол
hors jeu | offside | офсайд
le penalty | penalty | пенальті
la surface de réparation | penalty box | штрафний майданчик
jouer au football | to play football | грати в футбол
donner un coup de pied | to kick | удар ногою; бити ногою
faire une passe | to pass the ball | передати м'яч
marquer un but | to score a goal | забити гол
le juge de ligne | assistant referee | помічник арбітра
la juge de ligne | assistant referee | помічник арбітра
le ballon de foot | football | футбол
les chaussures de foot; fpl | football boots | футбольні бутси
le match de football | football match | футбольна гра
le terrain de football | football pitch | ігрове поле
le footballeur | football player | футболіст
la footballeuse | football player | футболіст
le but | goal | ворота
le gardien de but | goalkeeper | воротар
la gardienne de but | goalkeeper | воротар
les gants de gardien de but; mpl | goalkeeper's gloves | воротарські рукавички
les protège-tibias; mpl | shin pads | щитки для гомілок
le sifflet | whistle | свисток
le carton jaune / rouge | yellow / red card | жовта / червона картка


le rugby | rugby | регбі
le rugby à treize / quinze | rugby league / union | регбі-ліга
le rugby fauteuil | wheelchair rugby | регбі на візках
l'avant; m | forward | передній
l'avant; f | forward | передній
l'arrière; m | back | спина
l'arrière; f | back | спина
l'essai; m | try | тест; спроба
la transformation | conversion | перетворення
la pénalité | penalty kick | пенальті
le drop | drop goal | забити м'яч
la passe | pass | пасс
le casque | headguard | захист голови
le protège-dents | mouthguard | капа
jouer au rugby | to play rugby | грати в регбі
plaquer | to tackle | нападати
marquer un essai | to score a try | забити спробу
le rugby | rugby | регбі
le ballon de rugby | rugby ball | м'яч для регбі
le terrain de rugby | rugby field | поле для регбі
les poteaux de but (de rugby); mpl | (rugby) goalposts | стійки воріт (регбі)
le joueur de rugby | rugby player | регбіст
la joueuse de rugby | rugby player | регбіст
la mêlée | scrum | бійка

le basket-ball | basketball | баскетбол
le basket fauteuil | wheelchair basketball | крісельний баскетбол
le panneau | backboard | панель
le tir en course | layup | простой
le dunk | slam dunk | слем-данк
le lancer franc | free throw | штрафний кидок
jouer au basket-ball | to play basketball | грати баскетбол
attraper | to catch | зловити
lancer | to throw | кинути; кидати
dribbler | to dribble | дриблінг
contrer | to block | блокувати
marquer | to mark | відмічати; позначати
marquer un panier | to score a basket | забити кошик
le panier | basket | кошик
le ballon de basket-ball | basketball | баскетбол
le terrain | basketball court | баскетбольний майданчик
le (match de) basket-ball | basketball game | баскетбол
le basketteur | basketball player | баскетболіст
la basketteuse | basketball player | баскетболіст
les chaussures de basket; fpl | basketball shoes | взуття для баскетболу

les sports de raquettes | racket sports | ракетковий спорт
l'ace; m | ace | очко
le service | serve | подача
le revers | backhand | бекхенд
le coup droit | forehand | форхенд
la faute | fault | помилка
le filet | net | сітка
l'échange; m | rally | зміна м'яча
jeu, set et match | game, set and match | гра, сет і матч
le simple | singles | одинаки
le double | doubles | подвійні
la tête de série | top seed | перший сіяний гравець
jouer au tennis | to play tennis | грати в теніс

jouer au badminton / squash | to play badminton / squash | грати в бадмінтон / сквош
frapper | to hit | удар
servir | to serve | подати
prendre le service de son adversaire | to break his / her serve | приймати подачу суперника

le badminton | badminton | бадмінтон
la raquette de badminton | badminton racket | ракетка для бадмінтону
le volant | shuttlecock | волан

le squash | squash | сквош
la balle de squash | squash ball | м'яч для сквошу
la raquette de squash | squash racket | ракетка для сквошу

le ramasseur de balles | ball boy / girl | подавач м'яча (хлопчик / дівчинка)
la ramasseuse de balles | ball boy / girl | подавач м'яча (хлопчик / дівчинка)
le juge de ligne | line judge | лінійний суддя
la juge de ligne | line judge | лінійний суддя
le tennis | tennis | теніс
la balle de tennis | tennis ball | тенісний м'яч
le court de tennis | tennis court | тенісний корт
le joueur de tennis | tennis player | тенісистка
la joueuse de tennis | tennis player | тенісистка
la raquette de tennis | tennis racket | тенісна ракетка
l'arbitre; m | umpire | рефері
l'arbitre; f | umpire | рефері
la chaise de l'arbitre | umpire's chair | високий стілець

les sports nautiques | water sports | водні види спорту
la natation | swimming | плавання
le nageur | swimmer | плавець
la nageuse | swimmer | плавець
le plongeur | diver | водолаз
la plongeuse | diver | водолаз
la brasse | breaststroke | брас
le dos crawlé | backstroke | плавання на спині
le crawl | front crawl | кроль
le papillon | butterfly | батерфляй; метелик
le couloir | lane | провулок; трек; трек
la longueur | length | довжина
la leçon de natation | swimming lesson | уроки плавання
la plongée | diving | дайвінг
la pêche à la ligne | angling | риболовля
le pêcheur | angler | рибалка
la pêcheuse | angler | рибалка
le surfeur | surfer | серфер
la surfeuse | surfer | серфер
nager | to swim | плавати
plonger | to dive | пірнати
surfer | to surf | серфінг
pagayer | to paddle | веслувати
ramer | to row | веслувати
naviguer | to sail | відпливати; вітрильний спорт
pêcher | to fish | риболовля

les brassards; mpl | armbands | водяні крила
le plongeoir | diving board | трамплін
les palmes; fpl | flippers | ласти
les lunettes de piscine; fpl | goggles | окуляри для плавання
le sauveteur | lifeguard | рятувальник
la sauveteuse | lifeguard | рятувальник
le bonnet de bain | swimming cap | шапочка для купання
la piscine | swimming pool | басейн
le short de bain | swimming trunks | плавки
le maillot de bain | swimsuit | купальник

le bodyboard | bodyboarding | бодібординг
le canoë | canoeing | веслування на каное
le jet-ski | jetski | водний мотоцикл
le kayak | kayaking | каякінг
le gilet de sauvetage | lifejacket | рятувальний жилет
les avirons; mpl | oars | весла
la pagaie | paddle | весло
le paddle | paddleboarding | паддлбординг
la plongée sous-marine | scuba diving | підводне плавання
la plongée (avec masque et tuba) | snorkelling | підводне плавання з трубкою
la planche de surf | surfboard | дошка для серфінгу
le surf | surfing | серфінг
le ski nautique | waterskiing | катання на водних лижах
la combinaison de plongée | wetsuit | гідрокостюм
la planche à voile | windsurfing | віндсерфінг

les sports d'hiver | winter sports | зимові види спорту
le skieur | skier | лижник
la skieuse | skier | лижник
la station de sports d'hiver | ski resort | гірськолижний курорт
le remonte-pente | ski lift | гірськолижний підйомник
le moniteur de ski | ski instructor | лижний інструктор
la monitrice de ski | ski instructor | лижний інструктор
le secours en montagne | mountain rescue service | гірська рятувальна служба
la trousse de premiers secours | first-aid kit | аптечка першої допомоги
la neige | snow | сніг
la poudreuse | powder | пудра; сніжний порошок
la glace | ice | лід
l'avalanche; f | avalanche | лавина
le risque d'avalanches | avalanche risk | небезпека сходження лавин

skier (hors-piste) | to ski (off-piste) | катання на лижах (поза трасами)
faire du snowboard | to snowboard | сноуборд
faire de la luge | to go sledging | катання на санях
faire du patin à glace | to go ice skating | катання на ковзанах
faire de l'alpinisme | to go mountain climbing | скелелазіння

les crampons; mpl | crampons | кошики
le piolet | ice axe | льодоруб
les patins à glace; mpl | ice skates | ковзани
le patinage | ice skating | катання на ковзанах
la corde | rope | мотузка
la luge | sledge | сани

la piste | piste | схил
la salopette de ski | salopettes | лижні штани
les chaussures de ski; fpl | ski boots | лижні черевики
les gants de ski; mpl | ski gloves | лижні рукавички
les lunettes de ski; fpl | ski goggles | снігові окуляри
le casque | ski helmet | лижний шолом
le manteau de ski | ski jacket | лижна куртка
les bâtons de ski; mpl | ski poles | лижні палиці
les skis; mpl | skis | лижі
la combinaison de ski | ski suit | лижний костюм
la planche de snowboard | snowboard | сноуборд
les chaussures de snowboard; fpl | snowboarding boots | черевики для сноуборду

les sports de combat | combat sports | бойові мистецтва
le combat | fight | битва
le boxeur | boxer | боксер
la boxeuse | boxer | боксер
le combattant | fighter | боєць
la combattante | fighter | боєць
l'adversaire; m | opponent | суперник
l'adversaire; f | opponent | суперник
le poids plume | featherweight | напівлегка вага
le poids lourd | heavyweight | важка вага
le coup de poing | punch | удар
le K.-O. | knockout | нокаутуючий удар
les arts martiaux; mpl | martial arts | бойові мистецтва
boxer | to box | бокс
faire de la lutte | to wrestle | боротися
donner un coup de poing | to punch | бити
donner un coup de pied | to kick | удар ногою; бити ногою
frapper | to strike | страйк
s'entraîner | to spar | спарингувати
assommer | to knock out | вибивати

les gants de boxe; mpl | boxing gloves | боксерські рукавички
le ring | boxing ring | боксерський ринг
les chaussures de boxe; fpl | boxing shoes | взуття для боксу
le casque | headguard | захист голови
le protège-dents | mouthguard | капа
le sac de frappe | punchbag | мішок з піском

l'escrime; m | fencing | огорожа
le judo | judo | дзюдо
le karaté | karate | карате
le kick boxing | kickboxing | кікбоксинг
le taekwondo | taekwondo | тхеквондо
la lutte | wrestling | змагання з боротьби

l'athlétisme | athletics | легка атлетика
la course | race | гонка
le marathon | marathon | марафон
le pistolet de départ | starter's gun | стартовий сигнал
le faux départ | false start | фальстарт
le coureur | runner | бігун
la coureuse | runner | бігун
le couloir | lane | провулок; трек; трек
le départ | start line | стартова лінія
la ligne d'arrivée | finish line | фінішна пряма
l'éliminatoire; f | heat | прохід
la finale | final | останній
le sprint | sprint | спринт
la course de relais | relay | естафета
le triple saut | triple jump | потрійний стрибок
l'heptathlon; m | heptathlon | семиборство
le décathlon | decathlon | десятиборство
l'athlétisme en salle; m | indoor athletics | заняття легкою атлетикою; легка атлетика в приміщенні
faire de l'athlétisme | to do athletics | займіться легкою атлетикою
courir | to run | бігати
faire la course | to race | бігати в перегонах
sauter | to jump | стрибати
lancer | to throw | кинути; кидати
l'athlète; m | athlete | легкоатлет
l'athlète; f | athlete | легкоатлет
le disque | discus | диск
le saut en hauteur | high jump | стрибок у висоту
la haie | hurdles | перешкоди
le javelot | javelin | спис
le saut en longueur | long jump | стрибок у довжину
le saut à la perche | pole vault | стрибки з жердиною
la piste | running track | іподром
le lancer de poids | shot put | штовхання ядра
les chaussures à pointes; fpl | spikes | шипи
le starting-block | starting block | стартовий блок
le chronomètre | stopwatch | секундомір

le golf | golf | гольф
le joueur de golf | golfer | гравець у гольф
la joueuse de golf | golfer | гравець у гольф
le caddie | caddie | кедді
le terrain de golf | golf course | поле для гольфу
le fairway | fairway | фарватер
le pavillon | clubhouse | клубний будинок
le green | green | поле для гольфу
le bunker | bunker | піщаний бункер
le trou | hole | лунка
le trou en un | hole-in-one | лунка в один удар
le birdie | birdie | пташка
le handicap | handicap | інвалідність
le swing | swing | гойдалка
au-dessus / au-dessous du par | over / under par | понад / нижче пар
jouer au golf | to play golf | грати у гольф
prendre le départ | to tee off | вибити
le sac de golf | golf bag | сумка для гольфу
la balle de golf | golf ball | м'яч для гольфу
la voiturette de golf | golf buggy | баггі для гольфу
le club de golf | golf club | гольф-клуб
le putter | putter | клюшка
le té | tee | чай

d'autres sports | other sports | інші види спорту
le football américain | American football | американський футбол
le tir à l'arc | archery | стрільба з лука
le baseball | baseball | бейсбол
les boules; fpl | bowls | кулі; м'ячі
l'escalade; f | climbing | скелелазіння
le cricket | cricket | цвіркун
la pêche | fishing | риболовля
la gymnastique | gymnastics | гімнастика
le handball | handball | гандбол
le hockey | hockey | хокей
les courses hippiques; fpl | horse racing | скачки
le hockey sur glace | ice hockey | хокей
la course de motos | motorcycle racing | гонки на мотоциклі
la course automobile | motor racing | автомобільні гонки
le netball | netball | нетбол
le tir | shooting | стрільба
le concours hippique | showjumping | стрибки
le skate | skateboarding | катання на скейтборді
le snooker | snooker | снукер
le tennis de table | table tennis | настільний теніс
le cyclisme sur piste | track cycling | велогонка на треку
le volley | volleyball | волейбол
le water-polo | water polo | водне поло
l'haltérophilie; f | weightlifting | важка атлетика

	la santé | health
la santé | health | здоров'я
la trousse de secours | first-aid kit | аптечка першої допомоги
le bandage | bandage | бинт
le cachet | tablet; pill | таблетка
la seringue | syringe | шприц
le pansement | plaster | пластир

le secouriste | first aider | рятівник
la secouriste | first aider | рятівник
la douleur | pain | біль
la maladie | illness | захворювання
le symptôme | symptom | симптом
la santé mentale | mental health | психічне здоров'я
le traitement | treatment | лікування
l'assurance maladie; f | health insurance | медичне страхування
sain | healthy | здоровий
avoir mal | to be ill; to be in pain | боліти; відчувати біль
se remettre | to recover | одужувати
s'occuper de | to look after | піклуватися про
traiter | to treat | лікувати
le médecin | doctor | лікар
la médecin | doctor | лікар
la trousse de secours | first-aid kit | аптечка першої допомоги
l'hôpital; m | hospital | лікарня
le médicament | medicine | ліки
l'infirmier; m | nurse | медсестра
l'infirmière; f | nurse | медсестра
le secouriste | paramedic | фельдшер
la secouriste | paramedic | фельдшер
le patient | patient | пацієнт
la patiente | patient | пацієнт
le pharmacien | pharmacist | фармацевт
la pharmacienne | pharmacist | фармацевт
la pharmacie | pharmacy | аптека

le corps | the body | тіло
la gorge | throat | шия
l'aisselle; f | armpit | пахва
les organes génitaux; mpl | genitals | статеві органи
le sein | breast | груди
le cil | eyelash | вія
le sourcil | eyebrow | брова

la paupière | eyelid | повіка
le lobe de l'oreille | earlobe | мочка вуха
les narines; fpl | nostrils | ніздрі
les lèvres; fpl | lips | губи
la langue | tongue | язик
la peau | skin | шкіра
les poils; mpl | (body) hair | волосся на тілі
la taille | height | зріст
le poids | weight | вага
l'IMC; m | BMI | індекс маси тіла
l'ouïe; f | sense of hearing | слух
la vue | sense of sight | зір
l'odorat; m | sense of smell | нюх
le goût | sense of taste | смак
le toucher | sense of touch | відчуття дотику
l'équilibre; m | balance | баланс
voir | to see | побачити; бачити
sentir | to smell | нюхати
entendre | to hear | чути
toucher | to touch | торкатися
goûter | to taste | смакувати
être debout | to stand | вставати
marcher | to walk | йти
perdre l'équilibre | to lose one's balance | втратити рівновагу

les cheveux; mpl | hair | волосся
le front | forehead | лоб
l'œil; m | eye | око
l'oreille; f | ear | вухо
la joue | cheek | щока
le nez | nose | ніс
la bouche | mouth | рот
la mâchoire | jaw | щелепа
le menton | chin | підборіддя

le poignet | wrist | зап'ястя
l'articulation du doigt | knuckle | суглоб пальця
l'ongle | fingernail | ніготь

le doigt | finger | палець
le pouce | thumb | великий палець
la paume | palm | долоня

le gros orteil | big toe | великий палець ноги
l'ongle du pied; m | toenail | ніготь на нозі
le doigt de pied | toe | палець ноги
la plante du pied | sole | підошва
le talon | heel | каблук
la cheville | ankle | щиколотка

la tête | head | голова
le visage | face | обличчя
le cou | neck | шия
le bras | arm | рука
la poitrine | chest | груди
l'abdomen; m | abdomen | живіт
la main | hand | рука
la cuisse | thigh | стегно
la jambe | leg | нога
le genou | knee | коліно
le tibia | shin | гомілка
le pied | foot | стопа

l'épaule; f | shoulder | плече
la coude | elbow | лікоть
le dos | back | спина
la hanche | hip | стегно
les fesses; fpl | buttocks | сідниці
le mollet | calf | литка; теля

le squelette | the skeleton | скелет
l'organe; m | organ | орган
le cerveau | brain | мозок
le cœur | heart | серце
le poumon | lung | легке
le foie | liver | печінка
l'estomac; m | stomach | шлунок
le rein | kidney | нирка
les intestins; mpl | intestines | кишечник
la vessie | bladder | сечовий міхур
le système digestif | digestive system | травна система
le système respiratoire | respiratory system | дихальна система
le sang | blood | кров
l'articulation; f | joint | суглоб
l'os; m | bone | кістка
le muscle | muscle | м'яз
le nerf | nerve | нерв
le tendon | tendon | сухожилля
le tissu | tissue | тканина
le ligament | ligament | зв'язка
la cellule | cell | клітина
l'artère; f | artery | артерія
la veine | vein | вена
l'oxygène; m | oxygen | кисень

le crâne | skull | череп
la clavicule | collarbone | ключиця
les vertèbres; fpl | vertebrae | хребці
l'humérus; m | humerus | плечова кістка
le sternum | breastbone | грудина
les côtes; fpl | ribs | ребра
la colonne vertébrale | spine | хребет
le cubitus | ulna | лікоть
le radius | radius | радіус
le bassin | pelvis | таз
le fémur | femur | стегнова кістка
la rotule | kneecap | колінна чашечка
le péroné | fibula | малогомілкова кістка
le tibia | tibia | гомілка

le cabinet médical | the doctor's surgery | у лікаря
le rendez-vous | appointment | призначення
les consultations; fpl | clinic | клініка
l'examen médical; m | examination | обстеження
le test | test | тест
les antibiotiques; mpl | antibiotics | антибіотики
la pilule | the pill | таблетка
le somnifère | sleeping pill | снодійне
l'ordonnance; f | prescription | рецепт
la visite à domicile | home visit | візит додому
le vaccin | vaccination | щеплення
le médicament | medication | ліки
prendre rendez-vous | to make an appointment | записатися на прийом
examiner | to examine | перевірити
être sous médication | to be on medication | приймати ліки
le tensiomètre | blood pressure monitor | тонометр
la salle d'examen | examination room | кабінет для обстеження
la table d'examen | examination table | оглядовий стіл
le médecin généraliste | GP | лікар загальної практики
la médecin généraliste | GP | лікар загальної практики
l'infirmier auxiliaire; m | practice nurse | помічник лікаря
l'infirmière auxiliaire; f | practice nurse | помічник лікаря
le stéthoscope | stethoscope | стетоскоп
la seringue | syringe | шприц
le thermomètre | thermometer | термометр
la salle d'attente | waiting room | приймальня

le cabinet dentaire | the dentist's surgery | у стоматолога
l'examen dentaire; m | check-up | стоматологічний огляд
la molaire | molar | моляр
l'incisive; f | incisor | різець
la canine | canine | ікло
les dents de sagesse; fpl | wisdom teeth | зуби мудрості
la plombage | filling | начинка
la couronne | crown | коронка
le traitement radiculaire | root canal treatment | лікування кореневих каналів
l'extraction; f | extraction | виривання зуба
la douleur dentaire | toothache | зубний біль
l'abcès; m | abscess | гнійник
se brosser les dents | to brush one's teeth | чистити зуби
se passer du fil dentaire entre les dents | to floss | очистити зубною ниткою
l'appareil (dentaire); m | braces | підтяжки; брекети
le fil dentaire | dental floss | зубна нитка
l'assistant dentaire; m | dental nurse | асистент стоматолога
l'assistante dentaire; f | dental nurse | асистент стоматолога
le dentiste | dentist | стоматолог
la dentiste | dentist | стоматолог
le fauteuil de dentiste | dentist's chair | крісло стоматолога
la fraise dentaire | dentist's drill | дриль
le dentier | dentures | зубні протези
les gencives; fpl | gums | ясна
le bain de bouche | mouthwash | рідина для полоскання рота
les dents; fpl | teeth | зуби
la brosse à dents | toothbrush | зубна щітка
le dentifrice | toothpaste | зубна паста

l'opticien | the optician's | в оптиці
l'ophtalmologue; m | ophthalmologist | офтальмолог
l'ophtalmologue; f | ophthalmologist | офтальмолог
les lunettes de lecture; fpl | reading glasses | окуляри для читання
les lunettes à double foyer; fpl | bifocals | біфокальні окуляри
hard / soft contact lenses
les lentilles de contact souples / rigides; fpl
la lentille | lens | лінзи
la conjonctivite | conjunctivitis | кон'юнктивіт
l'orgelet; m | stye | ячмінне зерно
la vision brouillée | blurred vision | розмитий зір
les cataractes; fpl | cataracts | катаракта
myope | short-sighted | короткозорий
hypermétrope | long-sighted | далекозорий
malvoyant | visually impaired | слабозорий
aveugle | blind | сліпий
daltonien | colour-blind | дальтонік
porter des lunettes | to wear glasses | носити окуляри
porter des lentilles de contact | to wear contacts | носити контактні лінзи
les lentilles de contact | contact lenses | контактні лінзи
l'étui pour lentilles de contact; m | contact lens case | футляр для контактних лінз
le tableau d'acuité visuelle | eye chart | таблиця перевірки зору
le collyre | eye drops | очні краплі
l'examen de la vue; m | eye test | перевірка зору
la monture | frames | оправа окулярів
les lunettes; fpl | glasses | окуляри
l'étui à lunettes; m | glasses case | футляр для окулярів
l'opticien; m | optician | оптик
l'opticienne; f | optician | оптик

l'hôpital | the hospital | у лікарні
l'hôpital; m | public hospital | лікарня
la clinique | private hospital | клініка
le kinésithérapeute | physiotherapist | фізіотерапевт
la kinésithérapeute | physiotherapist | фізіотерапевт
le radiologue | radiographer | рентгенолог
la radiologue | radiographer | рентгенолог
le chirurgien | surgeon | хірург
la chirurgienne | surgeon | хірург
l'opération; f | operation | операція
le scanner | scan | сканер
le défibrillateur | defibrillator | дефібрилятор
les soins intensifs; mpl | intensive care | відділення інтенсивної терапії
le diagnostic | diagnosis | діагноз
subir une intervention | to undergo surgery | бути прооперованим
laisser entrer / sortir | to be admitted / discharged | бути прийнятим / виписаним
le service des urgences | A&E | екстрені служби
l'ambulance; f | ambulance | швидка допомога
les béquilles; fpl | crutches | милиці
la perfusion | drip | крапельниця
le lit d'hôpital | hospital bed | ліжко хворого
le chariot roulant | hospital trolley | рухомий візок
l'écran; m | monitor | екран; дисплей
la salle d'opération | operating theatre | операційна
le masque à oxygène | oxygen mask | киснева маска
le plâtre | plaster cast | гіпсова пов'язка
les points de suture; mpl | stitches | шви
la salle d'hôpital | ward | станція
le fauteuil roulant | wheelchair | інвалідний візок
la radio | X-ray | рентгенівське зображення
le déambulateur | Zimmer frame® | ходок

la blessure | injury | травма
l'accident; m | accident | нещасний випадок
le pouls | pulse | пульс
la commotion | concussion | струс мозку
la chute | fall | падіння
le déboîtement | dislocation | вивих
la foulure | sprain | розтягнення
la cicatrice | scar | шрам
le coup du lapin | whiplash | удар хлистом
l'enflure; f | swelling | набряк
les premiers secours; mpl | first aid | перша допомога
la position latérale de sécurité | recovery position | положення відновлення
la RCP | CPR | серцево-легенева реанімація
être inconscient | to be unconscious | бути без свідомості
prendre son pouls | to take his / her pulse | перевірити пульс
se blesser | to injure oneself | поранити себе
tomber | to fall | впасти
se casser le bras | to break one's arm | зламати руку
se tordre la cheville | to twist one's ankle | вивернути щиколотку

l'ampoule; f | blister | сечовий міхур
le bleu | bruise | синяк
la brûlure | burn | опік
la coupure | cut | поріз
la fracture | fracture | перелом
l'éraflure; f | graze | подряпина
l'écharde; f | splinter | заноза
la piqûre | sting | жало
le coup de soleil | sunburn | сонячний опік

l'antiseptique; m | antiseptic | антисептик
le bandage | bandage | бинт
le pansement | dressing | ранова пов'язка
la poche de glace | ice pack | пакет з льодом
la minerve | neck brace | шийний бандаж
la pommade | ointment | мазь
le pansement | plaster | пластир
l'écharpe; f | sling | канат
la pince à épiler | tweezers | пінцет

la maladie | illness | захворювання
la crise cardiaque | heart attack | серцевий напад
l'attaque; f | stroke | інсульт
l'infection; f | infection | інфекція
l'otite; f | ear infection | вушна інфекція
la fièvre | fever | лихоманка
le virus | virus | вірус
la varicelle | chicken pox | вітрянка
l'éruption cutanée; f | rash | висип
la gastroentérite | stomach bug | проблема шлунково-кишкового тракту
l'intoxication alimentaire; f | food poisoning | харчове отруєння
les vomissements; mpl | vomiting | блювота
la nausée | nausea | нудота
la diarrhée | diarrhoea | діарея
la constipation | constipation | запор
le diabète | diabetes | діабет
l'épilepsie; f | epilepsy | епілепсія
l'asthme; m | asthma | астма
le vertige | dizziness | запаморочення
l'inhalateur; m | inhaler | інгалятор
l'insuline; f | insulin | інсулін
les douleurs menstruelles; fpl | period pain | менструальний біль
faire de l'hypertension / l'hypotension | to have high / low blood pressure | мати високий / низький артеріальний тиск
tousser | to cough | кашляти
éternuer | to sneeze | чхати
vomir | to vomit | рвати
s'évanouir | to faint | непритомніти

la grossesse | pregnancy | вагітність
la femme enceinte | pregnant woman | вагітна жінка
le nouveau-né | newborn | новонароджений
la nouveau-née | newborn | новонароджений
le fœtus | foetus | плід
l'utérus; m | uterus | матка
le col de l'utérus | cervix | шийка матки
le travail | labour | скорочення
le gaz analgésique | gas and air | метеоризм
la péridurale | epidural | епідуральна анестезія
le projet d'accouchement | birth plan | план пологів; план народження
l'accouchement; m | delivery | народження
la césarienne | Caesarean section | кесарів розтин
la fausse couche | miscarriage | викидень
la date d'accouchement | due date | дата народження
la nausée matinale | morning sickness | нудота при вагітності
mort-né | stillborn | народжений мертвим
tomber enceinte | to fall pregnant | завагітніти
être en travail | to be in labour | бути в декреті
accoucher | to give birth | народити дитину
faire une fausse couche | to miscarry | мати викидень
allaiter | to breast-feed | грудне вигодовування
la couveuse | incubator | інкубатор
la salle d'accouchement | labour suite | пологовий зал
la sage-femme | midwife | акушерка
le test de grossesse | pregnancy test | тест на вагітність
l'échographiste; m | sonographer | лікар ультразвукової діагностики
l'échographiste; f | sonographer | лікар ультразвукової діагностики
l'échographie; f | ultrasound | ультразвук

les médecines alternatives | alternative therapies | альтернативні методи лікування
le thérapeute | therapist | терапевт
la thérapeute | therapist | терапевт
le masseur | masseur | масажист
la masseuse | masseuse | масажистка
le chiropracteur; m | chiropractor | мануальний терапевт
la chiropractrice; f | chiropractor | мануальний терапевт
l'acupuncteur; m | acupuncturist | акупунктурист
l'acupunctrice; f | acupuncturist | акупунктурист
le réflexologue | reflexologist | рефлексотерапевт
la réflexologue | reflexologist | рефлексотерапевт
le remède | remedy | ліки
le reiki | reiki | рейки
la pleine conscience | mindfulness | уважність
masser | to massage | масаж
méditer | to meditate | медитувати

l'huile essentielle; f | essential oil | ефірна олія
la phytothérapie | herbal medicine | фітотерапія
l'homéopathie; f | homeopathy | гомеопатія

l'acupuncture; f | acupunture | акупунктура
la chiropraxie | chiropractic | мануальна терапія
l'hypnothérapie; f | hypnotherapy | гіпнотерапія
le massage | massage | масаж
la méditation | meditation | медитація
l'ostéopathie; f | osteopathy | остеопатія
